osmid,name,coordinates,length
41404008,Avenue Edison,"[(2.3593093, 48.8298165), (2.3592824, 48.8298265), (2.3592685, 48.8298317), (2.3591638, 48.8298715), (2.3584145, 48.8301562), (2.3583717, 48.8301715), (2.358324, 48.8301848), (2.3582549, 48.8301917), (2.3581793, 48.8301939), (2.3581433, 48.8301871), (2.3581127, 48.8301797), (2.3579141, 48.8301126), (2.3578734, 48.8300992), (2.3577697, 48.8300651)]",14
41406018,Place Nationale,"[(2.3654835, 48.8289941), (2.3655174, 48.8290375), (2.3653948, 48.8292326), (2.3653483, 48.8292425)]",4
41406019,Rue du Château des Rentiers,"[(2.3649542, 48.829177), (2.3648977, 48.8291967), (2.3643633, 48.8294153), (2.3640958, 48.8295252), (2.3640419, 48.8295473), (2.3636246, 48.8297168), (2.3623458, 48.8302475), (2.3622569, 48.8302821), (2.3621903, 48.8303091), (2.3621316, 48.8303379), (2.3619678, 48.8304364), (2.3617254, 48.830588), (2.3616136, 48.8306782), (2.3611928, 48.8310366), (2.3610237, 48.8311807), (2.3608798, 48.8313032), (2.360787, 48.831384), (2.3601594, 48.8319221), (2.3601265, 48.8319593), (2.3600983, 48.8320009)]",20
41406021,Rue Clisson,"[(2.3653948, 48.8292326), (2.365372, 48.8292683), (2.365383, 48.8292884), (2.3654491, 48.829409), (2.36541, 48.8294491)]",5
41406022,Rue Nationale,"[(2.3651853, 48.8292382), (2.3651592, 48.829256), (2.3651462, 48.829278), (2.3651111, 48.829337), (2.3651244, 48.829366), (2.3645212, 48.8303415), (2.3640194, 48.8311531), (2.3640027, 48.8311802), (2.3641164, 48.8312756)]",9
41406023,Rue Nationale,"[(2.3622642, 48.8326632), (2.3622403, 48.832608), (2.362247, 48.8325807), (2.3626143, 48.8323099), (2.3633568, 48.8317608), (2.3634636, 48.8316828), (2.3635382, 48.8316246), (2.3638218, 48.8311709), (2.3638601, 48.8311093), (2.3643117, 48.8303817), (2.3643624, 48.8303), (2.3646843, 48.8297814), (2.3649703, 48.8293205), (2.365009, 48.8293085), (2.3650437, 48.8292521), (2.3650577, 48.8292294), (2.3650558, 48.8292042)]",17
41739834,La Coulée Verte,"[(2.3065179, 48.829334), (2.3064684, 48.8292579)]",2
42980044,Avenue Anna Politkovskaïa,"[(2.419863, 48.8433856), (2.4200018, 48.8434157), (2.4201381, 48.8434059), (2.4208323, 48.8433409), (2.4209756, 48.8433277), (2.4212598, 48.8433024), (2.4214592, 48.8432838), (2.4216486, 48.8432645), (2.4219337, 48.8432354), (2.4220613, 48.8432203), (2.4221662, 48.8432017), (2.4222722, 48.8431743), (2.4224826, 48.8431096), (2.4226059, 48.8430647), (2.4227451, 48.8430117)]",15
43092159,Rue Riquet,"[(2.371164, 48.8893111), (2.3711175, 48.8893203), (2.3695969, 48.8895412), (2.36827, 48.8897093), (2.3682256, 48.8897136), (2.3681514, 48.8897229), (2.3680701, 48.8897295)]",7
43092204,Rue Riquet,"[(2.3681801, 48.8896278), (2.369161, 48.8895042), (2.369252, 48.889492), (2.3698101, 48.8894169), (2.3709344, 48.8892513), (2.3709835, 48.8892609), (2.3710707, 48.8892499), (2.3711803, 48.889247), (2.3713185, 48.8892514)]",9
43184561,,"[(2.3809917, 48.8893831), (2.3809452, 48.8894061)]",2
43184562,,"[(2.3822434, 48.8900159), (2.3822139, 48.8900473)]",2
43184563,,"[(2.3831745, 48.8904866), (2.3831484, 48.890513)]",2
43184564,,"[(2.3839071, 48.8908494), (2.3838773, 48.8908791)]",2
43184565,,"[(2.3755398, 48.8857647), (2.3755687, 48.8857408)]",2
43184566,Quai de la Loire,"[(2.3798525, 48.8879083), (2.3799292, 48.88791)]",2
43184567,,"[(2.3807728, 48.8887954), (2.3808282, 48.8887682)]",2
43184568,,"[(2.3825492, 48.8896788), (2.3825957, 48.889659)]",2
43184569,,"[(2.3835489, 48.8901738), (2.3835566, 48.8901324)]",2
43184570,,"[(2.3848213, 48.8908072), (2.384817, 48.8907641)]",2
43274388,Boulevard Morland,"[(2.3625413, 48.8512379), (2.3625535, 48.8512232)]",2
43955570,,"[(2.4127534, 48.8510236), (2.412662, 48.8510369)]",2
44718840,Avenue Léon Gaumont,"[(2.4160541, 48.8493206), (2.4160635, 48.8494145), (2.4158056, 48.8508737)]",3
45188170,Boulevard Richard-Lenoir,"[(2.3724544, 48.8599842), (2.3725408, 48.8601824), (2.3725503, 48.8602046), (2.3726367, 48.8604206), (2.3727092, 48.8606751), (2.3727391, 48.8608288), (2.3727515, 48.8609056), (2.3727699, 48.8611432), (2.3727702, 48.8613359), (2.3727558, 48.8615221), (2.3727319, 48.8616519), (2.3727345, 48.8616672), (2.3727509, 48.8616863), (2.3727512, 48.8616974), (2.3727063, 48.8618844)]",15
45188306,Boulevard Richard-Lenoir,"[(2.3720351, 48.8600725), (2.3717514, 48.8594489), (2.3717333, 48.8594401), (2.3717162, 48.8594253), (2.3716493, 48.8592777), (2.3716337, 48.8592433), (2.3716357, 48.859223), (2.3716466, 48.8592065), (2.3710673, 48.8579238)]",9
45341944,,"[(2.4109561, 48.8691988), (2.4109012, 48.8691956), (2.4108724, 48.8691747)]",3
45341945,,"[(2.4108106, 48.869875), (2.4108907, 48.8698779)]",2
45828500,Quai des Célestins,"[(2.3623362, 48.8513913), (2.3624063, 48.85134), (2.3625402, 48.8512393)]",3
47354826,Rue de Crussol,"[(2.3701962, 48.8647371), (2.3701149, 48.8647166)]",2
48181439,Avenue Daumesnil,"[(2.4103244, 48.8340504), (2.4105267, 48.8339944), (2.4107581, 48.8339432), (2.4108972, 48.8339165), (2.4110354, 48.8339048)]",5
48181489,Avenue Courteline,"[(2.4135803, 48.8439112), (2.4141936, 48.8438563), (2.4143887, 48.8438388), (2.4144484, 48.8438148), (2.414483, 48.8438133)]",5
48181491,Avenue Courteline,"[(2.414483, 48.8438133), (2.4146112, 48.8438037), (2.4147515, 48.8437911)]",3
48181495,Boulevard Carnot,"[(2.4129461, 48.8438985), (2.4128729, 48.843507), (2.412858, 48.8434079), (2.4129512, 48.8427381), (2.4130017, 48.8424352), (2.4130871, 48.8418447), (2.4131222, 48.8418466)]",7
48181498,Avenue de la Porte de Vincennes,"[(2.414029, 48.8471908), (2.4139734, 48.8471976), (2.4139605, 48.8471587), (2.4139228, 48.8471067), (2.4138761, 48.8470706), (2.4138211, 48.847039), (2.4137755, 48.8470255), (2.4137266, 48.847012), (2.4136399, 48.847005), (2.4135742, 48.84701)]",10
48181499,Boulevard Carnot,"[(2.413433, 48.8464002), (2.4133785, 48.8461212), (2.413227, 48.8453447), (2.4131926, 48.8451687), (2.413013, 48.8442221), (2.4129967, 48.844148)]",6
48801173,Rue Jean-Pierre Timbaud,"[(2.3703509, 48.8658892), (2.370426, 48.8658652), (2.3704644, 48.8658686), (2.3705117, 48.8658727), (2.3706383, 48.8659058), (2.3707122, 48.8659261), (2.3707115, 48.8659381)]",7
48964115,Quai de Jemmapes,"[(2.3680526, 48.8795072), (2.3681559, 48.8795344), (2.3681812, 48.8795524), (2.3697696, 48.8813938), (2.3697864, 48.8814077), (2.3698359, 48.8814307), (2.3699058, 48.881442), (2.3699486, 48.8814579), (2.3700578, 48.8814944)]",9
48964578,Quai de Valmy,"[(2.3690673, 48.8823375), (2.3690078, 48.8822956), (2.3689435, 48.8822583), (2.3684807, 48.881725), (2.3684777, 48.8816882), (2.3682404, 48.881415), (2.3682106, 48.8814123), (2.3679259, 48.8810834), (2.3672968, 48.8803555)]",9
48965339,Quai de Jemmapes,"[(2.3659335, 48.8774159), (2.3659632, 48.8774396), (2.3660637, 48.8775568), (2.3662252, 48.8777453), (2.3671901, 48.8788666), (2.3671858, 48.8789257)]",6
48965642,Quai de Valmy,"[(2.3646197, 48.871695), (2.3653132, 48.8708079), (2.3653699, 48.8707406), (2.3654281, 48.8706693), (2.366063, 48.8698438), (2.3661031, 48.869792), (2.3661837, 48.8697616)]",7
48966259,Avenue Jean Jaurès,"[(2.3952787, 48.8894998), (2.3950396, 48.8894129), (2.3948727, 48.8893604), (2.3948609, 48.8893567), (2.3948574, 48.8893556)]",5
48966548,Place Léon Blum,"[(2.3799992, 48.8579695), (2.3799948, 48.8579624), (2.3799522, 48.8579011), (2.3799151, 48.8578471), (2.3799068, 48.8578315)]",5
49428643,Boulevard des Batignolles,"[(2.3169426, 48.8813682), (2.3169129, 48.8813841), (2.3168407, 48.8814228), (2.3168125, 48.8814298), (2.3167795, 48.8814312)]",5
50673093,Rue Riquet,"[(2.3644221, 48.8899224), (2.3641504, 48.8899291)]",2
50991318,Avenue Corentin Cariou,"[(2.3823088, 48.8946875), (2.3823917, 48.8947423), (2.3824279, 48.8947662), (2.382511, 48.8947739), (2.3825175, 48.8947795), (2.3825825, 48.8948354), (2.3827217, 48.8949549)]",7
50991319,Avenue Corentin Cariou,"[(2.3839606, 48.8963473), (2.3838331, 48.8962233), (2.3837552, 48.8961535)]",3
51110034,Boulevard de Magenta,"[(2.3521897, 48.8804341), (2.3523039, 48.8803059), (2.3523954, 48.8802202), (2.3529903, 48.8795376), (2.3531087, 48.8794077), (2.3532587, 48.8792461), (2.3533283, 48.879168), (2.3537527, 48.8786918), (2.3538144, 48.8786213), (2.353835, 48.8785974), (2.3538912, 48.8785317), (2.3539516, 48.8784717), (2.3539938, 48.878418), (2.3540155, 48.8783963), (2.3540722, 48.8783333), (2.354677, 48.8776748), (2.3549111, 48.8774116), (2.3550107, 48.8772908), (2.3556261, 48.8766017), (2.3556688, 48.8765557), (2.355678, 48.8765094)]",21
51111534,Boulevard de Magenta,"[(2.3625292, 48.8688974), (2.3627623, 48.8686382), (2.3627936, 48.8686043)]",3
51112821,Boulevard Barbès,"[(2.3494157, 48.8864843), (2.3494137, 48.8864226), (2.3493998, 48.8856614), (2.3493996, 48.8856334)]",4
51112822,Boulevard Barbès,"[(2.3494958, 48.8844893), (2.3496339, 48.8845557), (2.3496348, 48.8846252), (2.3496419, 48.8851621), (2.3496426, 48.8851944)]",5
51308062,Avenue Jean Jaurès,"[(2.3926728, 48.8886791), (2.3925234, 48.8886921), (2.3920779, 48.8885756), (2.3917321, 48.8884863), (2.391133, 48.8883304), (2.3908048, 48.8882418), (2.3907248, 48.8882203)]",7
51311514,Quai de la Loire,"[(2.3706843, 48.8830969), (2.3707001, 48.8831206)]",2
51311515,Quai de la Loire,"[(2.3710746, 48.8835508), (2.3728463, 48.8844281), (2.3736196, 48.8848102), (2.3741554, 48.8850777), (2.3754107, 48.8856978), (2.3754212, 48.885703), (2.3755398, 48.8857647), (2.3756512, 48.8858176), (2.3764206, 48.8862048), (2.3770312, 48.8865103), (2.3771069, 48.8865491), (2.3790269, 48.8874996), (2.3798364, 48.8879003), (2.3798525, 48.8879083)]",14
51312071,,"[(2.3854741, 48.8923171), (2.385432, 48.8923408)]",2
51312072,Quai de l'Oise,"[(2.37923, 48.8885171), (2.3793512, 48.8885768), (2.3808572, 48.8893174), (2.3809917, 48.8893831), (2.3815749, 48.8896732), (2.3819019, 48.8898383), (2.3821788, 48.8899737), (2.3822031, 48.8899881)]",8
51314737,Avenue Jean Jaurès,"[(2.3707805, 48.8830711), (2.3707409, 48.8830806), (2.3706843, 48.8830969)]",3
51316684,Rue Jean-Pierre Timbaud,"[(2.3789175, 48.8680833), (2.3792622, 48.8681985), (2.3795334, 48.8683521), (2.3795813, 48.8683803), (2.3804267, 48.8688541), (2.3804702, 48.8688785), (2.3805038, 48.8688974)]",7
51316687,,"[(2.3795813, 48.8683803), (2.3795529, 48.8684056)]",2
51317637,Quai de Valmy,"[(2.3628103, 48.8745047), (2.3628097, 48.8744529)]",2
51352982,Place de Dublin,"[(2.3247158, 48.8809527), (2.3245668, 48.8809207)]",2
51510435,Cours de Vincennes,"[(2.4088727, 48.8475567), (2.407888, 48.8476386), (2.4078184, 48.8476458), (2.4078165, 48.847646)]",4
51690307,Avenue de Choisy,"[(2.3571667, 48.8298609), (2.357117, 48.8298125), (2.3570818, 48.8297754)]",3
51694826,Place d'Italie,"[(2.3565823, 48.831015), (2.3565418, 48.8310019), (2.3565104, 48.8309918), (2.3564561, 48.8309742), (2.3564529, 48.8309703), (2.3564707, 48.8309427), (2.3564872, 48.8309235)]",7
51695052,Place d'Italie,"[(2.3564316, 48.8307283), (2.3565667, 48.8307998), (2.3565716, 48.8308105)]",3
51702879,,"[(2.3653901, 48.828624), (2.3655156, 48.8285922)]",2
51706189,Rue Jeanne d'Arc,"[(2.3629621, 48.8339555), (2.3619708, 48.8347057), (2.3618874, 48.8347692), (2.3615814, 48.8350021), (2.3603091, 48.8359356), (2.3602635, 48.8359354), (2.3602497, 48.8359396), (2.3601611, 48.8359302)]",8
51706190,Rue Jeanne d'Arc,"[(2.3601611, 48.8359302), (2.3601837, 48.83588), (2.3601836, 48.8358346), (2.3614516, 48.8349031), (2.3615843, 48.8348182), (2.3617599, 48.8346917), (2.3628312, 48.8338783), (2.3631773, 48.8336249)]",8
52005447,Quai des Célestins,"[(2.357966, 48.8534096), (2.3579826, 48.853404), (2.3585002, 48.8532153), (2.3587323, 48.8531313), (2.3588379, 48.8530891), (2.3589373, 48.8530414), (2.358997, 48.8530031), (2.35903, 48.8529819), (2.3590766, 48.85295), (2.3591103, 48.8529289), (2.3591424, 48.8529104), (2.359171, 48.8528969), (2.3597108, 48.8526974), (2.359757, 48.8526811), (2.3597925, 48.8526706), (2.3598477, 48.852658), (2.3598789, 48.8526485), (2.3599092, 48.8526371), (2.359947, 48.8526165), (2.3599719, 48.8526041), (2.3600045, 48.8525909), (2.3601602, 48.8525341), (2.3603153, 48.8524821), (2.3603634, 48.8524713), (2.3603998, 48.8524645), (2.3604833, 48.8524516), (2.3605396, 48.8524377)]",27
52005450,Boulevard Richard-Lenoir,"[(2.3690554, 48.8662048), (2.3694362, 48.8657179), (2.3694984, 48.8656372)]",3
52005451,Boulevard Jules Ferry,"[(2.369452, 48.866328), (2.3694335, 48.8663524), (2.3690939, 48.8667912), (2.3677564, 48.8685095), (2.3676889, 48.8686008), (2.3676867, 48.8686509), (2.3677212, 48.8686915)]",7
52114425,Quai Malaquais,"[(2.3353064, 48.8578087), (2.33533, 48.8579205)]",2
52114818,Quai Malaquais,"[(2.3348217, 48.8580179), (2.334123, 48.8581904), (2.3337239, 48.8582877), (2.3335377, 48.8583361), (2.3334855, 48.8583496)]",5
52194681,,"[(2.2810688, 48.8757023), (2.2810253, 48.8757659), (2.280995, 48.8758078), (2.2809859, 48.8758203), (2.2809639, 48.8758508), (2.2809144, 48.8759191)]",6
52285725,Place Mazas,"[(2.3671443, 48.8454905), (2.3672144, 48.8454943), (2.3672538, 48.8454867), (2.3672919, 48.8455045), (2.3673584, 48.8455353), (2.3674559, 48.8455536), (2.3674863, 48.8455729)]",7
52398026,Place Denfert-Rochereau,"[(2.3332416, 48.8337972), (2.3333573, 48.8337679)]",2
52503450,Boulevard de Bercy,"[(2.3764004, 48.838906), (2.3765104, 48.8388865), (2.3765244, 48.8388941), (2.3768964, 48.8390956), (2.3770213, 48.839136), (2.3772044, 48.8392364), (2.3772909, 48.8393065), (2.3786844, 48.8400583), (2.3788487, 48.8401472), (2.3789308, 48.8401868), (2.3790146, 48.8402222), (2.3790461, 48.8402153), (2.3790809, 48.8401892)]",13
52511409,Boulevard du Général Martial Valin,"[(2.2745277, 48.8368397), (2.2777559, 48.8361067), (2.2778072, 48.8361159)]",3
52511653,Boulevard Lefebvre,"[(2.301263, 48.8287169), (2.3005622, 48.8288684), (2.3003779, 48.8288984), (2.3000612, 48.8289663), (2.2991783, 48.8291445), (2.299028, 48.8291777), (2.298867, 48.8292139), (2.2980437, 48.8294014), (2.2976984, 48.8294801), (2.2967319, 48.8297006), (2.2961432, 48.8298344), (2.2960876, 48.8298452), (2.2960415, 48.82986), (2.2960339, 48.8298624), (2.2960142, 48.8298797), (2.2959922, 48.8298865)]",16
52511722,Boulevard Victor,"[(2.2865256, 48.8335724), (2.2864221, 48.8336161), (2.286038, 48.8337671), (2.2854439, 48.8339808)]",4
52511809,Boulevard du Général Martial Valin,"[(2.2744004, 48.8371228), (2.2742173, 48.8371764), (2.2738796, 48.8372736), (2.2730945, 48.8375231), (2.2725814, 48.8376918), (2.2709417, 48.8382999)]",6
52719929,Boulevard de la Villette,"[(2.3705538, 48.8775424), (2.370557, 48.8775123), (2.3705605, 48.8774801), (2.371991, 48.8762296), (2.3720449, 48.8761826)]",5
52719941,Boulevard de la Villette,"[(2.3721051, 48.87653), (2.3714959, 48.8770576), (2.370774, 48.8776856), (2.3706345, 48.8777856)]",4
52719953,Boulevard de la Villette,"[(2.3705059, 48.8784067), (2.3705046, 48.8785283), (2.3704889, 48.879952), (2.3704849, 48.88034), (2.3704809, 48.880728), (2.3704799, 48.880763), (2.3704614, 48.8813957), (2.3704603, 48.8814338), (2.3704203, 48.88149)]",9
52719989,Boulevard de la Villette,"[(2.3700578, 48.8814944), (2.3700059, 48.8814043), (2.3700061, 48.8813897), (2.3700131, 48.8807392), (2.3700175, 48.8803383), (2.3700189, 48.8802066), (2.370034, 48.8785602), (2.3700173, 48.8783808)]",8
52984974,Avenue de la Porte de La Chapelle,"[(2.3594919, 48.8998224), (2.3594773, 48.8999131), (2.3595135, 48.9000499)]",3
52984982,Avenue de la Porte de La Chapelle,"[(2.3595135, 48.9000499), (2.3595379, 48.9001573), (2.3595881, 48.9002689)]",3
52984993,Avenue de la Porte de La Chapelle,"[(2.3595881, 48.9002689), (2.3596839, 48.9004847), (2.3597199, 48.900655), (2.3596963, 48.9010595), (2.3596512, 48.9012672), (2.3596666, 48.9013745), (2.3596614, 48.9014478)]",7
53205787,Rue Riquet,"[(2.3680701, 48.8897295), (2.3679603, 48.8897374), (2.3671962, 48.8897858), (2.3671918, 48.8897861), (2.3670008, 48.8897983)]",5
53272977,Boulevard de Belleville,"[(2.3793226, 48.8701702), (2.3793061, 48.8701856), (2.3785417, 48.8707778)]",3
53473095,Rue de Croulebarbe,"[(2.351312, 48.8330178), (2.3512379, 48.8329599), (2.3511657, 48.8329059), (2.3507155, 48.8325692), (2.3499626, 48.8321576), (2.3498615, 48.8321024), (2.3497897, 48.8320607), (2.3495807, 48.8319393), (2.3486733, 48.8313504), (2.3484111, 48.8311692), (2.3482311, 48.8310426), (2.3481524, 48.8309873)]",12
53565535,Boulevard Victor,"[(2.279419, 48.8357294), (2.2794458, 48.835688), (2.279543, 48.8356616), (2.2796217, 48.8356403), (2.2807445, 48.8353121), (2.2811089, 48.8352024), (2.2811379, 48.8351937), (2.2819141, 48.8349615), (2.2823218, 48.8348441), (2.282709, 48.8347112), (2.283616, 48.8343868), (2.2837403, 48.8343293), (2.283774, 48.8343128), (2.2837974, 48.8342849)]",14
53565536,Boulevard Lefebvre,"[(2.2971648, 48.8293683), (2.2971821, 48.8293664), (2.2972057, 48.8293727), (2.2972349, 48.8293733), (2.2980617, 48.8291862), (2.2986082, 48.8290626), (2.2987712, 48.8290149), (2.2988275, 48.8289939), (2.2988416, 48.8289794), (2.2988602, 48.8289759)]",10
53582124,Pont au Change,"[(2.3470605, 48.8571571), (2.3471199, 48.8572394)]",2
53799381,Place d'Italie,"[(2.3557597, 48.8306473), (2.3557471, 48.8306457), (2.3557237, 48.8306427), (2.3557138, 48.8306449), (2.3557067, 48.8306499), (2.3556908, 48.830703), (2.355662, 48.8307976), (2.3556567, 48.830806), (2.3556492, 48.8308131), (2.3556382, 48.8308199), (2.3556253, 48.8308247), (2.3556213, 48.8308254), (2.3556023, 48.8308287), (2.3554632, 48.8308335), (2.3554522, 48.8308344), (2.3553204, 48.830851), (2.3552324, 48.830872), (2.3552169, 48.8308752), (2.3551925, 48.830877), (2.3551717, 48.8308786), (2.3551528, 48.8308798), (2.3551417, 48.8308828), (2.3551286, 48.8308898), (2.3551272, 48.8308922), (2.3551214, 48.8309021)]",25
53799382,Place d'Italie,"[(2.3551214, 48.8309021), (2.3550743, 48.8309293), (2.3550264, 48.830951)]",3
54147200,Boulevard Masséna,"[(2.3650363, 48.8198822), (2.3650255, 48.8198959), (2.3650159, 48.8199118), (2.3650086, 48.8199219), (2.3649748, 48.8199627), (2.3649452, 48.8199983), (2.3649269, 48.8200216), (2.364916, 48.8200355), (2.3649042, 48.8200506), (2.364874, 48.820089), (2.3648673, 48.8200976), (2.364859, 48.8201081), (2.3648296, 48.8201227)]",13
54147253,Boulevard Masséna,"[(2.361044, 48.819019), (2.3610567, 48.8190203), (2.361567, 48.8190741), (2.3618101, 48.8191023), (2.3618518, 48.8191003), (2.3619284, 48.8190952), (2.3620934, 48.8191243), (2.3621087, 48.8191279)]",8
54147330,Boulevard Kellermann,"[(2.3580178, 48.8190446), (2.3581891, 48.8189922), (2.3583879, 48.8189468), (2.3585288, 48.8189231), (2.3587098, 48.8189018), (2.3592731, 48.8188507), (2.3593158, 48.8188468)]",7
54147347,Boulevard Jourdan,"[(2.3395923, 48.8200201), (2.3396866, 48.819999), (2.3397864, 48.8199694), (2.3408244, 48.8197451), (2.3408631, 48.8197393), (2.3413695, 48.8196689), (2.3414121, 48.819663), (2.3414155, 48.8196626), (2.3416194, 48.8196383), (2.3418464, 48.8196161), (2.3419254, 48.8195986), (2.3420457, 48.8195808), (2.3430132, 48.8194614), (2.3439779, 48.8193488), (2.3442716, 48.8193115)]",15
54147414,Boulevard Jourdan,"[(2.3343248, 48.821142), (2.3343976, 48.8211542), (2.334495, 48.8211356), (2.3353796, 48.8209405), (2.3363769, 48.820722), (2.3373893, 48.8205046), (2.3376182, 48.8204522), (2.3377825, 48.8204064), (2.3380456, 48.8203492)]",9
54147855,Boulevard Brune,"[(2.3140602, 48.8256184), (2.3141298, 48.8256407), (2.3165998, 48.8250899), (2.316703, 48.8250666), (2.3167496, 48.8250339)]",5
54148861,Boulevard Kellermann,"[(2.3505357, 48.8210261), (2.3505253, 48.8210232), (2.3504995, 48.8210158), (2.3504651, 48.8210062), (2.3499371, 48.8208607), (2.3496559, 48.8207806), (2.3496153, 48.8207693), (2.3492221, 48.8206617), (2.349188, 48.8206523), (2.34898, 48.8205953), (2.3481989, 48.8203811), (2.3481177, 48.8203586), (2.3480846, 48.8203494)]",13
54149145,Boulevard Jourdan,"[(2.3415519, 48.8199038), (2.3415373, 48.8198871), (2.3415192, 48.819875), (2.3414899, 48.8198707), (2.3414731, 48.8198712), (2.3414632, 48.8198712), (2.3414323, 48.8198749), (2.3412116, 48.8199039), (2.3408759, 48.8199501), (2.3406806, 48.8199896), (2.3406432, 48.8200142), (2.3403294, 48.8200827), (2.3395242, 48.8202624), (2.3394885, 48.8202685), (2.3393219, 48.8203078)]",15
54149159,Boulevard Jourdan,"[(2.3375193, 48.8207051), (2.3370935, 48.8207979), (2.3349567, 48.8212728), (2.3348956, 48.8212711), (2.3348769, 48.8212706), (2.3348189, 48.821269), (2.3347693, 48.8212692), (2.3345819, 48.821322), (2.3343849, 48.8213796), (2.3343156, 48.8213958), (2.3337564, 48.8215283), (2.3330624, 48.8216815), (2.3330052, 48.8216926)]",13
54149191,Boulevard Jourdan,"[(2.3303086, 48.8223153), (2.3302907, 48.8223194), (2.3302789, 48.8223152), (2.3302641, 48.8223123), (2.3302387, 48.8223126), (2.3302107, 48.8223164), (2.3301749, 48.8223217), (2.3299446, 48.8223561), (2.3292878, 48.822501), (2.3292569, 48.8225099), (2.3290179, 48.8225766), (2.328828, 48.8226084), (2.3274892, 48.8229022), (2.3274761, 48.8229175), (2.3273397, 48.8229475), (2.3273219, 48.8229402), (2.3272725, 48.8229498), (2.3268325, 48.8230478), (2.3267314, 48.8230697)]",19
54830140,Boulevard de Ménilmontant,"[(2.3874423, 48.8630946), (2.3873274, 48.8632058), (2.3873086, 48.8632218), (2.3864207, 48.8639966), (2.3863925, 48.8639977), (2.3862603, 48.8641159)]",6
54830249,Boulevard de Ménilmontant,"[(2.3829154, 48.8668972), (2.3829, 48.8668632), (2.3830744, 48.8665597), (2.3830592, 48.866531), (2.3830783, 48.8665096), (2.383167, 48.8664376), (2.3832262, 48.8663934), (2.3833682, 48.866268), (2.3834477, 48.8661981), (2.3837172, 48.8659606), (2.3838286, 48.8658623), (2.3841084, 48.8656157)]",12
54830267,Boulevard de Charonne,"[(2.3944226, 48.8566542), (2.3934521, 48.8571542), (2.3926087, 48.8575938), (2.3925819, 48.8575877), (2.3924159, 48.8576785), (2.3923101, 48.8577367), (2.3922288, 48.8577796), (2.3920198, 48.8578542), (2.3919209, 48.8578846), (2.390216, 48.8583892)]",10
54890342,,"[(2.3588073, 48.8730598), (2.3589202, 48.8730993), (2.3590235, 48.8731358)]",3
54931372,Rue de Rivoli,"[(2.3272651, 48.8653053), (2.3269941, 48.8653943), (2.3262108, 48.8656468), (2.3261572, 48.8656641), (2.326115, 48.8656777), (2.3260017, 48.8657142), (2.3252041, 48.8659712), (2.3251698, 48.8659822), (2.3251184, 48.8659986), (2.3250212, 48.86603), (2.3242576, 48.8662867), (2.3242146, 48.8662999), (2.3241619, 48.866311), (2.3237898, 48.8663734), (2.3237533, 48.8663772), (2.3237197, 48.8663811), (2.3235621, 48.8663866), (2.3234686, 48.8663826)]",18
54931401,Cours Albert-Iᵉʳ,"[(2.3078494, 48.8649042), (2.3064335, 48.8648733), (2.3033876, 48.8648067), (2.3032775, 48.8647608)]",4
54952892,Boulevard de Ménilmontant,"[(2.387324, 48.8627185), (2.3873855, 48.8625999), (2.3874018, 48.8625689), (2.3874004, 48.8625584), (2.3873913, 48.862542), (2.3873905, 48.8625296), (2.3875464, 48.8622066), (2.3878495, 48.8615724), (2.3881238, 48.8610033)]",9
55255363,Place du Cardinal Lavigerie,"[(2.4039197, 48.8323803), (2.4038281, 48.8324133), (2.4028354, 48.8330873), (2.402585, 48.8332573), (2.4025013, 48.8333233), (2.4024726, 48.833346)]",6
56064094,Boulevard de Picpus,"[(2.4000691, 48.8464051), (2.4018678, 48.8451941), (2.4019032, 48.8451771), (2.4020463, 48.8451089)]",4
56461024,Cours de Vincennes,"[(2.4077489, 48.8476526), (2.4077426, 48.8476532), (2.4065872, 48.8477585), (2.406583, 48.8477586), (2.4064431, 48.8477617)]",5
56464055,Boulevard de Charonne,"[(2.3988208, 48.8508824), (2.3987532, 48.8510729), (2.398716, 48.8511206), (2.3986872, 48.8511954), (2.3986669, 48.8512479)]",5
58108767,Boulevard Masséna,"[(2.3717253, 48.822236), (2.3718236, 48.8222674), (2.3727202, 48.8225647), (2.3728058, 48.8225937)]",4
58108768,Boulevard Masséna,"[(2.3714718, 48.822445), (2.3714557, 48.8224379), (2.3714538, 48.8224214), (2.3714472, 48.8224126), (2.3714351, 48.8224022), (2.3714252, 48.8223982), (2.3713919, 48.8223873), (2.3709944, 48.8222561), (2.370609, 48.8221276), (2.3705108, 48.8221012), (2.3702656, 48.8220434), (2.3696226, 48.8218287)]",12
59470854,Quai de la Rapée,"[(2.3704762, 48.8434236), (2.3704302, 48.8433902), (2.3704, 48.8433419), (2.3702952, 48.8432872)]",4
59470855,Quai de la Rapée,"[(2.3704241, 48.8430366), (2.3705825, 48.8429135), (2.3709921, 48.8425843)]",3
59652635,Boulevard de Bercy,"[(2.3764004, 48.838906), (2.3762954, 48.8388492), (2.3761821, 48.8387906), (2.3760655, 48.8386442), (2.3758608, 48.8385457), (2.3758367, 48.838544), (2.3757901, 48.838554)]",7
59656043,,"[(2.3763494, 48.8390112), (2.3763808, 48.8389513)]",2
59945680,Avenue Cartellier,"[(2.4129845, 48.8640985), (2.4136878, 48.8636796), (2.4138878, 48.8635604), (2.4141486, 48.8634038), (2.4142863, 48.86333)]",5
61091418,,"[(2.2879108, 48.8578359), (2.2879944, 48.8577837), (2.2880366, 48.8577574), (2.2881061, 48.857714)]",4
