osmid,name,coordinates,length
25469793,Avenue de la Porte de Vincennes,"[(2.413433, 48.8464002), (2.413601, 48.8463878)]",2
25469947,Quai Panhard et Levassor,"[(2.37966, 48.8321751), (2.3797185, 48.8321312)]",2
25471514,Avenue Jean Moulin,"[(2.3250164, 48.8269003), (2.3250647, 48.8269476), (2.3250999, 48.8269819), (2.3251741, 48.8270542), (2.3252165, 48.8270937), (2.3253061, 48.8271425), (2.3254623, 48.8272096), (2.3255284, 48.8272203), (2.3262573, 48.8275456), (2.3263421, 48.8276202), (2.3263846, 48.8276497), (2.3264288, 48.8276761), (2.3264811, 48.8277124), (2.3265476, 48.8277538)]",14
25473024,Avenue du Maréchal Fayolle,"[(2.2699583, 48.8670965), (2.2702981, 48.8674867), (2.2717411, 48.8691745), (2.2717616, 48.8691985)]",4
25473146,Allée des Fortifications,"[(2.2624977, 48.8566442), (2.2624946, 48.8566549), (2.262502, 48.8566688), (2.2625472, 48.8567469), (2.2625876, 48.856827), (2.2626266, 48.8569472), (2.2626512, 48.8570648), (2.2626697, 48.857182), (2.2627008, 48.8572854), (2.2627368, 48.8573688), (2.262788, 48.8574724), (2.2628554, 48.8575755), (2.2629281, 48.8576901), (2.262958, 48.8577368), (2.2629752, 48.8577632)]",15
25473868,Boulevard de l'Amiral Bruix,"[(2.2809144, 48.8759191), (2.2807325, 48.875862), (2.2804272, 48.8757604), (2.2802316, 48.8756975), (2.2801521, 48.8756663), (2.280092, 48.8756422)]",6
25474874,,"[(2.3713411, 48.8987765), (2.3713465, 48.8987106), (2.3713497, 48.8986488)]",3
25475795,,"[(2.3810525, 48.8989625), (2.3810565, 48.8989015), (2.3810594, 48.8988424)]",3
25477499,Rue Maryse Hilsz,"[(2.4121988, 48.8536609), (2.4122034, 48.8536457), (2.4122209, 48.8535918), (2.4123587, 48.8534112), (2.4124029, 48.8533648), (2.4124465, 48.8532475), (2.4124587, 48.8531995), (2.4124864, 48.8531374), (2.4124845, 48.8531171), (2.4125162, 48.8530131), (2.4125625, 48.8529391), (2.4128221, 48.8520237), (2.4127625, 48.8511554), (2.4127534, 48.8510236), (2.4127732, 48.8508628), (2.4129425, 48.8500227)]",16
25485929,Rue de Rivoli,"[(2.3338823, 48.8631744), (2.3337726, 48.8632106)]",2
25485930,Cours la Reine,"[(2.3197974, 48.8641193), (2.3195106, 48.8642014), (2.3186104, 48.8644974)]",3
25897088,Rue de Provence,"[(2.3380375, 48.8741541), (2.3380259, 48.8741544), (2.3376834, 48.8741618), (2.3376206, 48.8741656)]",4
26384918,Avenue Edison,"[(2.3607131, 48.829288), (2.3607037, 48.8293025), (2.3606837, 48.8293132), (2.3605988, 48.8293222), (2.3605772, 48.8293328), (2.3600249, 48.8296245)]",6
26934251,Allée Davia,"[(2.2699888, 48.858341), (2.2699786, 48.8583376), (2.268689, 48.8578736), (2.2667674, 48.8571689), (2.2667127, 48.8571491), (2.2666235, 48.8571146), (2.2665964, 48.8571098), (2.2665596, 48.8571069), (2.2664998, 48.8571021), (2.2663506, 48.857086), (2.2662822, 48.8570829), (2.2662222, 48.8570816), (2.2661193, 48.8570869), (2.2659382, 48.8571111), (2.2658484, 48.8571319), (2.2657954, 48.8571442), (2.264923, 48.8573884), (2.2649131, 48.8573959)]",18
26934300,Allée Jean Sablon,"[(2.2663846, 48.8569033), (2.2666222, 48.8569562), (2.2667924, 48.8570082), (2.2668216, 48.8570167), (2.2671459, 48.8571327), (2.2671624, 48.8571334), (2.2672256, 48.8571224), (2.2672492, 48.8571252), (2.2676909, 48.8572823), (2.2677789, 48.8573136), (2.2696701, 48.8580052), (2.2701086, 48.8581678), (2.2702531, 48.8582223), (2.2703829, 48.8582659)]",14
27068127,Chaussée de la Muette,"[(2.2703829, 48.8582659), (2.2704388, 48.8582773), (2.2718824, 48.8582101), (2.2721313, 48.8581982), (2.2721586, 48.8582027), (2.2722008, 48.8582211), (2.2722058, 48.8582782)]",7
27559654,Pont Charles de Gaulle,"[(2.3701442, 48.843204), (2.3682828, 48.8422025), (2.3682822, 48.8422022), (2.3680591, 48.8420822), (2.3679283, 48.8420277)]",5
27773625,Pont au Change,"[(2.3465055, 48.8562653), (2.3465152, 48.8562811), (2.3470412, 48.8571291), (2.3470488, 48.8571394)]",4
29402353,Rue Édouard Lartet,"[(2.4140293, 48.8398424), (2.4139055, 48.8398546), (2.4138281, 48.839862), (2.4137685, 48.8398661), (2.4137379, 48.8398513), (2.4131409, 48.8399221)]",6
29878907,,"[(2.4427415, 48.8230193), (2.4427012, 48.8229859), (2.4426574, 48.8229563), (2.4426204, 48.822931), (2.4425087, 48.8228847), (2.4424092, 48.8228687), (2.4422824, 48.8228793), (2.4421809, 48.8229166), (2.4421191, 48.8229537), (2.4420635, 48.8230003)]",10
30168410,Boulevard Macdonald,"[(2.3935851, 48.8959806), (2.3934661, 48.8961183), (2.3932395, 48.8963401), (2.3930954, 48.8964667), (2.3928943, 48.8966089), (2.3926058, 48.8967589), (2.3925483, 48.8967864), (2.3924978, 48.8968081), (2.3924258, 48.8968319), (2.3923202, 48.896868), (2.3921945, 48.8969045), (2.39203, 48.8969521), (2.3916899, 48.8970579), (2.3914524, 48.8971181), (2.390916, 48.8972194), (2.3906068, 48.8972646), (2.390294, 48.8972927), (2.3897039, 48.8973283), (2.3893873, 48.897345), (2.389057, 48.8973524)]",20
30168415,Boulevard Macdonald,"[(2.3940316, 48.8952721), (2.3940049, 48.8953206), (2.3939879, 48.8953536), (2.3939705, 48.8954154), (2.393787, 48.895717), (2.3935851, 48.8959806)]",6
30173241,Pont Morland,"[(2.3658771, 48.8473046), (2.3661734, 48.8470794), (2.3662992, 48.8469823)]",3
30276120,Boulevard de la Guyane,"[(2.4111649, 48.8343374), (2.4111644, 48.8343431), (2.4111766, 48.8343562), (2.4114069, 48.8344427), (2.4115078, 48.8344966), (2.4116237, 48.8345762), (2.4116758, 48.8346113), (2.411806, 48.8346998), (2.4119201, 48.8347982), (2.4120653, 48.8349467), (2.4121832, 48.8350993), (2.4122888, 48.8352762), (2.412646, 48.83623), (2.4128016, 48.8366459), (2.4130123, 48.8372167), (2.4132384, 48.8378176), (2.4133355, 48.8381428), (2.4133805, 48.8382832), (2.4137631, 48.8395967), (2.4138017, 48.8397282), (2.4138048, 48.8397841), (2.4138281, 48.839862)]",22
31750641,Avenue Daumesnil,"[(2.3756503, 48.8470703), (2.3765595, 48.8466244), (2.3765835, 48.8466124)]",3
31830831,Quai de la Rapée,"[(2.3706531, 48.8436887), (2.3706694, 48.8436559), (2.370655, 48.8435874), (2.3706673, 48.8435761), (2.3706865, 48.8435593)]",5
31831464,Place Valhubert,"[(2.3646717, 48.844471), (2.3646186, 48.8445436), (2.3646019, 48.8445541), (2.3645312, 48.8445806), (2.3643885, 48.8446775), (2.3643014, 48.8447774)]",6
34678826,Quai des Célestins,"[(2.3605396, 48.8524377), (2.3606408, 48.8524142), (2.3606702, 48.8524063), (2.3606978, 48.8523971), (2.3607332, 48.8523826), (2.3607578, 48.8523694), (2.3610933, 48.8521644), (2.3614317, 48.8519554), (2.3620364, 48.8515788), (2.3623362, 48.8513913)]",10
34678894,Quai de Bercy,"[(2.3871881, 48.8290826), (2.3872124, 48.8290505), (2.3872946, 48.8289815), (2.3873587, 48.8289139), (2.3875301, 48.8286769), (2.3876857, 48.828528), (2.387792, 48.8284412), (2.3880759, 48.8281858), (2.3883161, 48.8280412), (2.3884833, 48.8279523), (2.3887773, 48.8277413), (2.3902698, 48.8265991), (2.3909449, 48.8260801)]",13
34679516,Quai de la Rapée,"[(2.3662992, 48.8469823), (2.3663268, 48.8469604), (2.3666862, 48.8466893), (2.3667539, 48.846634), (2.3667972, 48.8466011)]",5
35095631,Boulevard de Bercy,"[(2.3789998, 48.8404205), (2.3789582, 48.8403559), (2.3789078, 48.8403274), (2.3764228, 48.838974), (2.3763808, 48.8389513), (2.3764004, 48.838906)]",6
35095633,Pont de Bercy,"[(2.3757901, 48.838554), (2.3756536, 48.838486), (2.3756477, 48.8384832), (2.3739866, 48.8375706)]",4
35099632,Rue Villiot,"[(2.3740405, 48.8409634), (2.3742944, 48.8410853)]",2
35801920,Coulée Verte René-Dumont,"[(2.408816, 48.8405883), (2.4079378, 48.8405728), (2.4076071, 48.8405709), (2.407535, 48.8405794), (2.4074013, 48.8406043), (2.4061305, 48.8407126), (2.4049886, 48.8408077), (2.4049776, 48.8408026), (2.4049663, 48.8407681)]",9
35801921,La Coulée Verte René-Dumont,"[(2.4098241, 48.8405951), (2.408816, 48.8405883)]",2
35802062,Coulée Verte René-Dumont,"[(2.3927761, 48.8409435), (2.3928933, 48.84095), (2.3936433, 48.8409917)]",3
35802063,Coulée Verte René-Dumont,"[(2.3936433, 48.8409917), (2.3936472, 48.840992), (2.3939473, 48.8410117), (2.3953364, 48.841103)]",4
35802065,Coulée Verte René-Dumont,"[(2.3953364, 48.841103), (2.3986722, 48.8410807)]",2
35802066,Coulée Verte René-Dumont,"[(2.3986722, 48.8410807), (2.3990254, 48.8410741), (2.3993787, 48.8410614)]",3
35802068,Coulée Verte René-Dumont,"[(2.4004878, 48.8410162), (2.4010899, 48.8409861)]",2
35980862,Place Félix Éboué,"[(2.394969, 48.839411), (2.3952282, 48.8394291), (2.3953049, 48.8394121), (2.3957198, 48.8393205)]",4
35981390,Place Félix Éboué,"[(2.3949524, 48.8398203), (2.3949451, 48.8398048), (2.3949341, 48.8397812), (2.3949274, 48.839767), (2.3949049, 48.8397274)]",5
35981392,Place Félix Éboué,"[(2.3962437, 48.8392074), (2.3962645, 48.8392446)]",2
35981394,Place Félix Éboué,"[(2.395124, 48.8399928), (2.395077, 48.8399711), (2.3950529, 48.8399596), (2.3950368, 48.8399512), (2.3950254, 48.8399428), (2.395012, 48.8399309), (2.3950012, 48.8399172), (2.3949657, 48.8398493)]",8
36887564,Anneau de Longchamp,"[(2.2368662, 48.8519249), (2.2368216, 48.8517765), (2.2367763, 48.8516839), (2.2367236, 48.8516212), (2.236655, 48.8515723), (2.236589, 48.8515328), (2.2363339, 48.8514443), (2.2361981, 48.8513972)]",8
