osmid,name,coordinates
1327984922,Rue de Sèvres,"[(2.314292, 48.8461369), (2.3142228, 48.8461159), (2.3141599, 48.8460968)]"
1327985584,Boulevard Pasteur,"[(2.3148487, 48.8402549), (2.3150333, 48.8401866)]"
1327985585,Boulevard Pasteur,"[(2.3163894, 48.8390297), (2.3165067, 48.8390085)]"
1328003988,Boulevard Mortier,"[(2.4071657, 48.875963), (2.4071926, 48.8759144), (2.4072105, 48.8758821)]"
1328004791,Boulevard Sérurier,"[(2.4056841, 48.877718), (2.4059221, 48.8776712), (2.405971, 48.877655), (2.4061188, 48.8775932), (2.4062432, 48.8775253), (2.4062707, 48.8775094), (2.4062952, 48.8774889), (2.4063532, 48.8774184), (2.4064136, 48.8774093)]"
1328004792,Boulevard Sérurier,"[(2.4054048, 48.8777713), (2.4054464, 48.8777633), (2.4054867, 48.8777556)]"
1328004793,Boulevard Sérurier,"[(2.4054867, 48.8777556), (2.4056365, 48.8777272)]"
1328004794,Boulevard Sérurier,"[(2.4056365, 48.8777272), (2.4056619, 48.8777224), (2.4056841, 48.877718)]"
1328169907,Avenue de la Porte de Saint-Cloud,"[(2.2521299, 48.8384756), (2.2522123, 48.838465)]"
1328174691,Boulevard Morland,"[(2.3625402, 48.8512393), (2.3625413, 48.8512379)]"
1328174692,Boulevard Morland,"[(2.3625971, 48.8511568), (2.3626145, 48.8511271)]"
1328176437,Quai de Grenelle,"[(2.2886652, 48.854602), (2.2886433, 48.8545693)]"
1328176438,Quai de Grenelle,"[(2.2886433, 48.8545693), (2.2885885, 48.8545), (2.2885593, 48.8544388)]"
1328176439,Boulevard de Grenelle,"[(2.2886158, 48.8542946), (2.2886884, 48.8542822), (2.2887626, 48.8542868)]"
1328177538,Place des Insurgés de Varsovie,"[(2.2929673, 48.8278205), (2.2928594, 48.8278798), (2.2927898, 48.8279122)]"
1328181900,Quai Jacques Chirac,"[(2.2886652, 48.854602), (2.2887053, 48.8546513)]"
1328181901,Quai Jacques Chirac,"[(2.2887625, 48.854764), (2.288857, 48.8547777), (2.2889176, 48.8548024)]"
1328182201,Boulevard Vincent Auriol,"[(2.3582624, 48.8318448), (2.3580027, 48.8317588), (2.3579145, 48.8317296), (2.3569896, 48.8314233), (2.356955, 48.8314119)]"
1328182202,Boulevard Vincent Auriol,"[(2.3583854, 48.8318855), (2.3583226, 48.8318647), (2.3582624, 48.8318448)]"
1328182203,Boulevard Vincent Auriol,"[(2.358843, 48.8320372), (2.3583854, 48.8318855)]"
1328182204,Boulevard Vincent Auriol,"[(2.3589331, 48.832067), (2.3588902, 48.8320529), (2.358843, 48.8320372)]"
1328182205,Boulevard Vincent Auriol,"[(2.3633068, 48.8335286), (2.3631729, 48.8334856), (2.3631234, 48.8334701), (2.3619616, 48.833081), (2.361889, 48.8330566)]"
1328182206,Boulevard Vincent Auriol,"[(2.361889, 48.8330566), (2.3618151, 48.8330318), (2.3617336, 48.8330042)]"
1328182207,Boulevard Vincent Auriol,"[(2.3633718, 48.8335495), (2.3633068, 48.8335286)]"
1328182208,Boulevard Vincent Auriol,"[(2.3634731, 48.8335831), (2.3633718, 48.8335495)]"
1328183357,Rue Montmartre,"[(2.3430302, 48.8714317), (2.3430021, 48.8713946), (2.3429931, 48.8713701), (2.342809, 48.8708682), (2.3427827, 48.8707964), (2.3426668, 48.8704808), (2.3426126, 48.8703012), (2.3426149, 48.8702807)]"
1328183358,Rue Montmartre,"[(2.3426149, 48.8702807), (2.3426214, 48.8702219), (2.3426512, 48.8701328), (2.3426792, 48.8700466)]"
1328183359,Rue Montmartre,"[(2.3426792, 48.8700466), (2.3426888, 48.8700169), (2.3427325, 48.8699171), (2.3427844, 48.8697979), (2.3427935, 48.8697751)]"
1328183360,Rue Montmartre,"[(2.3427935, 48.8697751), (2.3428057, 48.8697447), (2.3428205, 48.8697154)]"
1328187171,Boulevard de l'Hôpital,"[(2.3563314, 48.8327444), (2.3563156, 48.8327222), (2.3561048, 48.8324247), (2.3559636, 48.832235), (2.3559096, 48.8321731), (2.3557791, 48.8320203), (2.3558242, 48.8318583)]"
1328187172,Boulevard de l'Hôpital,"[(2.3564472, 48.8328904), (2.3563924, 48.8328263), (2.356345, 48.832764), (2.3563314, 48.8327444)]"
1328187173,Boulevard de l'Hôpital,"[(2.3565844, 48.8330691), (2.3564693, 48.8329121), (2.3564472, 48.8328904)]"
1328187174,Boulevard de l'Hôpital,"[(2.3567094, 48.8332338), (2.3566653, 48.8331792), (2.3565844, 48.8330691)]"
1328187175,Boulevard de l'Hôpital,"[(2.3568273, 48.8333842), (2.3567635, 48.8332998), (2.3567502, 48.8332867)]"
1328187176,Boulevard de l'Hôpital,"[(2.3567502, 48.8332867), (2.3567094, 48.8332338)]"
1328187177,Boulevard de l'Hôpital,"[(2.3576836, 48.8345442), (2.35767, 48.8345256), (2.3574811, 48.8342628), (2.3569737, 48.8335905), (2.3568442, 48.8334068), (2.3568273, 48.8333842)]"
1328187178,Boulevard de l'Hôpital,"[(2.3577288, 48.8346052), (2.3577141, 48.8345853), (2.3576836, 48.8345442)]"
1328187179,Boulevard de l'Hôpital,"[(2.3581421, 48.835148), (2.3577712, 48.8346548), (2.3577288, 48.8346052)]"
1328187180,Boulevard de l'Hôpital,"[(2.3582162, 48.8352477), (2.3581961, 48.8352199), (2.3581421, 48.835148)]"
1328187181,Boulevard de l'Hôpital,"[(2.3585478, 48.8357068), (2.3584857, 48.8356203), (2.3582162, 48.8352477)]"
1328187182,Boulevard de l'Hôpital,"[(2.3586185, 48.8358018), (2.3585813, 48.8357527), (2.3585478, 48.8357068)]"
1328187183,Boulevard de l'Hôpital,"[(2.3587708, 48.8360041), (2.3587028, 48.8359129), (2.3586897, 48.8358967)]"
1328187184,Boulevard de l'Hôpital,"[(2.3586897, 48.8358967), (2.3586185, 48.8358018)]"
1328187634,Rue Louis Pasteur Valléry-Radot,"[(2.3321311, 48.9002511), (2.3334332, 48.9002741)]"
1328187635,Rue Louis Pasteur Valléry-Radot,"[(2.3320343, 48.9002494), (2.3321311, 48.9002511)]"
1328188891,Avenue de la Porte de Montmartre,"[(2.335819, 48.9002399), (2.3358057, 48.900263)]"
1328188892,Avenue de la Porte de Montmartre,"[(2.3358057, 48.900263), (2.3357953, 48.9002805)]"
1328189330,Boulevard Lefebvre,"[(2.2924255, 48.8310384), (2.2923781, 48.8310585)]"
1328189331,Boulevard Lefebvre,"[(2.2923781, 48.8310585), (2.2923263, 48.8310787)]"
1328189333,Avenue de la Porte de Montmartre,"[(2.336438, 48.8991543), (2.3364154, 48.8991936)]"
1328189788,Boulevard Vincent Auriol,"[(2.3647246, 48.8339988), (2.3646453, 48.8339725)]"
1328190497,Avenue de la Porte de Montmartre,"[(2.3351432, 48.9009442), (2.3351012, 48.9008837), (2.3353044, 48.9005305)]"
1328190498,Avenue de la Porte de Montmartre,"[(2.3353044, 48.9005305), (2.3353237, 48.9004859), (2.3353369, 48.9004519)]"
1328190499,Avenue de la Porte de Montmartre,"[(2.3353369, 48.9004519), (2.3360603, 48.899206)]"
1328190500,Avenue de la Porte de Montmartre,"[(2.3360603, 48.899206), (2.336103, 48.8991474), (2.3361312, 48.899113)]"
1328190627,Boulevard de l'Hôpital,"[(2.3560184, 48.8321489), (2.3561273, 48.8321942), (2.356167, 48.832219), (2.3562214, 48.8322653), (2.3565041, 48.8326778), (2.3565178, 48.8326982)]"
1328190628,Boulevard de l'Hôpital,"[(2.3565178, 48.8326982), (2.3565748, 48.8327797), (2.3566155, 48.8328367)]"
1328190629,Boulevard de l'Hôpital,"[(2.3566155, 48.8328367), (2.3566278, 48.8328521), (2.3568042, 48.833084)]"
1328190630,Boulevard de l'Hôpital,"[(2.3568042, 48.833084), (2.3568485, 48.8331448), (2.3568925, 48.8332019)]"
1328190631,Boulevard de l'Hôpital,"[(2.3568925, 48.8332019), (2.3569988, 48.833349), (2.3578275, 48.8344819), (2.3578399, 48.8344978)]"
1328190632,Boulevard de l'Hôpital,"[(2.3578399, 48.8344978), (2.3578873, 48.8345566), (2.3579247, 48.8346032)]"
1328190633,Boulevard de l'Hôpital,"[(2.3579247, 48.8346032), (2.3579367, 48.8346179), (2.3582076, 48.8349658), (2.3585439, 48.8354269)]"
1328190634,Boulevard de l'Hôpital,"[(2.3585439, 48.8354269), (2.358598, 48.8355011), (2.3586344, 48.8355502)]"
1328190635,Boulevard de l'Hôpital,"[(2.3592394, 48.8363643), (2.3593472, 48.8364675), (2.3593973, 48.8365411), (2.3594274, 48.836573)]"
1328190636,Boulevard de l'Hôpital,"[(2.3594274, 48.836573), (2.3594268, 48.8366247)]"
1328192422,Rue Championnet,"[(2.3325966, 48.8942701), (2.3325381, 48.8942488)]"
1328195259,Place de Clichy,"[(2.327752, 48.8835159), (2.3277263, 48.8835764), (2.3276915, 48.8836408)]"
1328195260,Place de Clichy,"[(2.3275074, 48.8837174), (2.3273898, 48.8837522), (2.3273243, 48.883733), (2.327239, 48.8837034), (2.327202, 48.8836637)]"
1328195261,Place de Clichy,"[(2.32716, 48.8836374), (2.3271228, 48.8835885), (2.327091, 48.883525)]"
1328195262,Place de Clichy,"[(2.327202, 48.8836637), (2.32716, 48.8836374)]"
1328195263,Place de Clichy,"[(2.3271771, 48.883337), (2.3272452, 48.8833104), (2.3273105, 48.8833034)]"
1328195264,Place de Clichy,"[(2.3271583, 48.8833911), (2.3271771, 48.883337)]"
1328195265,Place de Clichy,"[(2.3273105, 48.8833034), (2.3274826, 48.8833261)]"
1328195266,Place de Clichy,"[(2.3274826, 48.8833261), (2.3275266, 48.8833358), (2.3275992, 48.883351)]"
1328195267,Place de Clichy,"[(2.3275992, 48.883351), (2.3277256, 48.8833987), (2.3277431, 48.8834198)]"
1328195268,Place de Clichy,"[(2.3277431, 48.8834198), (2.3277535, 48.8834708), (2.327752, 48.8835159)]"
1328195269,Place de Clichy,"[(2.3275586, 48.8837043), (2.3275074, 48.8837174)]"
1328195270,Place de Clichy,"[(2.3276915, 48.8836408), (2.32768, 48.8836527), (2.3276045, 48.883687), (2.3275586, 48.8837043)]"
1328195277,Boulevard de Clichy,"[(2.327752, 48.8835159), (2.3278228, 48.8835413)]"
1328198440,Pont Louis-Philippe,"[(2.3548023, 48.8543673), (2.3548277, 48.8542555)]"
1328198441,Pont Louis-Philippe,"[(2.3549097, 48.8544834), (2.3548923, 48.8544644)]"
1328200831,Boulevard Sérurier,"[(2.3986945, 48.8800352), (2.3986781, 48.879953), (2.3988095, 48.8799027), (2.3990824, 48.8798039), (2.3994027, 48.8796677), (2.3994369, 48.8796537), (2.3994716, 48.87964)]"
1328200832,Boulevard Sérurier,"[(2.3994716, 48.87964), (2.3995444, 48.8796108), (2.3996353, 48.8795781)]"
