osmid,name,coordinates
4039834,,"[(2.3248713, 48.8412731), (2.3248146, 48.8412029), (2.3247417, 48.8411127)]"
4527645,Rue de Rivoli,"[(2.3571222, 48.8561474), (2.3567022, 48.8562529), (2.3565953, 48.8562782), (2.3565038, 48.8563006), (2.3558034, 48.8564688), (2.3554338, 48.8565522), (2.3553579, 48.8565693), (2.354968, 48.8566636), (2.3539893, 48.856898), (2.3538707, 48.856925), (2.3538382, 48.8569325)]"
4574323,Rue des Mauvais Garçons,"[(2.3549542, 48.856641), (2.354968, 48.8566636), (2.3549917, 48.8567026)]"
4574383,Rue de Turbigo,"[(2.3513847, 48.8641531), (2.3513174, 48.8642059), (2.3512556, 48.8642446), (2.3511007, 48.8642921)]"
8349122,Rue Damrémont,"[(2.332492, 48.8869178), (2.3324769, 48.8869148), (2.3324209, 48.8869071)]"
10816878,Rue Rampal,"[(2.3795742, 48.8747658), (2.3795184, 48.8747986)]"
14163843,Tunnel de l'Étoile,"[(2.2987811, 48.8727062), (2.2985693, 48.8728027), (2.2984942, 48.8728522), (2.2984239, 48.8728953), (2.2983164, 48.8729401), (2.2975536, 48.8731833)]"
14163844,Tunnel de l'Étoile,"[(2.2975536, 48.8731833), (2.2970648, 48.8733497), (2.2962238, 48.8736367), (2.2959364, 48.8737661), (2.2957297, 48.8738713), (2.2954048, 48.8740207), (2.2950827, 48.8741116), (2.2942178, 48.8742728), (2.2940176, 48.8743223), (2.2929349, 48.8746552)]"
14310596,Tunnel de l'Étoile,"[(2.2929349, 48.8746552), (2.2923902, 48.8748276), (2.2919592, 48.8749503), (2.2915761, 48.875027), (2.2914629, 48.8750361)]"
14577741,Rue du Capitaine Ferber,"[(2.4043192, 48.8643492), (2.404524, 48.8645595), (2.4045832, 48.8646138), (2.4046134, 48.8646363), (2.4046572, 48.8646683)]"
14882420,Rue de Castiglione,"[(2.3273072, 48.8653522), (2.3272651, 48.8653053), (2.3272303, 48.8652664)]"
15459667,Rue Van Gogh,"[(2.370984, 48.8436818), (2.3710635, 48.8436707), (2.371148, 48.8436471), (2.3711814, 48.8436241), (2.3711811, 48.8435861), (2.3711792, 48.8435701)]"
16290794,Rue de la Tombe Issoire,"[(2.3339636, 48.8297868), (2.3340379, 48.8298286), (2.3341092, 48.8298665)]"
17953215,Rampe Van Loo,"[(2.2682241, 48.8407145), (2.2683007, 48.8407126), (2.2684685, 48.8408021), (2.2689096, 48.8412471), (2.2690764, 48.8414162), (2.2691453, 48.8414264), (2.2691846, 48.8414184)]"
19922683,,"[(2.3740634, 48.899827), (2.3740653, 48.8997745)]"
22566238,Place de la Concorde,"[(2.3205046, 48.8642601), (2.3205573, 48.8642502), (2.3206312, 48.8642454)]"
23032891,Rue Moreau,"[(2.3719438, 48.8488486), (2.3719795, 48.8488977)]"
23041243,,"[(2.4108277, 48.870598), (2.4107272, 48.8706506)]"
23041245,,"[(2.4110853, 48.8678957), (2.4109962, 48.8678939)]"
23680854,Rue du Temple,"[(2.3596085, 48.8646815), (2.3596612, 48.8647516), (2.3596979, 48.8647735), (2.3600888, 48.8651587), (2.3603479, 48.8654168), (2.3607626, 48.8658057), (2.3608299, 48.8658715), (2.3608761, 48.8659163), (2.3610692, 48.8661008), (2.3614187, 48.8664173), (2.3614595, 48.8664512), (2.3614585, 48.8664689)]"
23818636,Avenue de Pologne,"[(2.2735833, 48.8690008), (2.2734753, 48.8690344), (2.2721875, 48.8695145), (2.2721579, 48.8695235)]"
24031242,Place du Docteur Paul Michaux,"[(2.2556611, 48.8384333), (2.2555642, 48.8384892), (2.2555121, 48.8385402), (2.2554848, 48.8385515)]"
24677167,Rue Édouard Lartet,"[(2.4131365, 48.8398744), (2.4131409, 48.8399221), (2.4130767, 48.8399412), (2.4130539, 48.8399705), (2.4131468, 48.8403021), (2.4131984, 48.8403789), (2.4132493, 48.8406714), (2.4132769, 48.840835), (2.4132843, 48.8409095), (2.4132807, 48.8409776), (2.4132626, 48.8410338)]"
24719927,Rue des Frères Flavien,"[(2.4130448, 48.874089), (2.4130745, 48.8741637), (2.4130689, 48.8741781), (2.4128201, 48.8750382), (2.4127745, 48.8751922), (2.4127567, 48.875254), (2.412698, 48.8754462), (2.4125421, 48.875959), (2.4125082, 48.8760702), (2.4124919, 48.8761238), (2.4124033, 48.8764031), (2.4122153, 48.8766361), (2.4121575, 48.8767081), (2.4119691, 48.8768057)]"
24720135,Avenue de la Porte de Bagnolet,"[(2.4114338, 48.865737), (2.4114153, 48.8657293), (2.411409, 48.8657182), (2.4114997, 48.8654871), (2.4115029, 48.8654636), (2.4114928, 48.8654465)]"
24868181,,"[(2.3690463, 48.8842239), (2.3689744, 48.8842643), (2.3689214, 48.8842941), (2.3688705, 48.8843227)]"
24944212,Avenue de Friedland,"[(2.3051829, 48.8749646), (2.3050901, 48.8749544), (2.3049905, 48.8749445)]"
25466677,Quai de l'Hôtel de Ville,"[(2.3536359, 48.8549763), (2.3544917, 48.8546413), (2.3547535, 48.8545417), (2.3548632, 48.8544995), (2.3549097, 48.8544834)]"
25466721,Boulevard de la Bastille,"[(2.3668673, 48.8465519), (2.3668941, 48.8466136), (2.3675417, 48.8480344), (2.3675796, 48.8481169), (2.3678958, 48.8488047), (2.3679977, 48.8490368), (2.3681695, 48.8494085), (2.3681861, 48.8494327), (2.3682304, 48.8494897), (2.3683038, 48.8496538), (2.3683133, 48.8497164), (2.3684903, 48.8501094), (2.3685105, 48.8501543), (2.3689901, 48.8512044), (2.3690327, 48.8512428), (2.3691186, 48.8514409)]"
25466771,,"[(2.3692345, 48.851762), (2.3693387, 48.8517503)]"
25467172,Quai de la Rapée,"[(2.3667972, 48.8466011), (2.3668426, 48.8465686), (2.3668673, 48.8465519)]"
25467233,Rue Villiot,"[(2.3743215, 48.8410382), (2.3742944, 48.8410853), (2.3743161, 48.8411088), (2.3752672, 48.8415907), (2.376125, 48.842013), (2.3761411, 48.8420122), (2.3761869, 48.8419832)]"
25469732,Place Édouard Renard,"[(2.4068403, 48.8351772), (2.4072374, 48.8350334), (2.407796, 48.8348296), (2.407877, 48.8348), (2.4079418, 48.8347751)]"
25469733,Avenue Daumesnil,"[(2.4082674, 48.834817), (2.4082976, 48.8348059), (2.409537, 48.83435)]"
25469793,Avenue de la Porte de Vincennes,"[(2.413433, 48.8464002), (2.413601, 48.8463878)]"
25469947,Quai Panhard et Levassor,"[(2.37966, 48.8321751), (2.3797185, 48.8321312)]"
25471514,Avenue Jean Moulin,"[(2.3250164, 48.8269003), (2.3250647, 48.8269476), (2.3250999, 48.8269819), (2.3251741, 48.8270542), (2.3252165, 48.8270937), (2.3253061, 48.8271425), (2.3254623, 48.8272096), (2.3255284, 48.8272203), (2.3262573, 48.8275456), (2.3263421, 48.8276202), (2.3263846, 48.8276497), (2.3264288, 48.8276761), (2.3264811, 48.8277124), (2.3265476, 48.8277538)]"
25473024,Avenue du Maréchal Fayolle,"[(2.2699583, 48.8670965), (2.2702981, 48.8674867), (2.2717411, 48.8691745), (2.2717616, 48.8691985)]"
25473146,Allée des Fortifications,"[(2.2624977, 48.8566442), (2.2624946, 48.8566549), (2.262502, 48.8566688), (2.2625472, 48.8567469), (2.2625876, 48.856827), (2.2626266, 48.8569472), (2.2626512, 48.8570648), (2.2626697, 48.857182), (2.2627008, 48.8572854), (2.2627368, 48.8573688), (2.262788, 48.8574724), (2.2628554, 48.8575755), (2.2629281, 48.8576901), (2.262958, 48.8577368), (2.2629752, 48.8577632)]"
25473868,Boulevard de l'Amiral Bruix,"[(2.2809144, 48.8759191), (2.2807325, 48.875862), (2.2804272, 48.8757604), (2.2802316, 48.8756975), (2.2801521, 48.8756663), (2.280092, 48.8756422)]"
25474874,,"[(2.3713411, 48.8987765), (2.3713465, 48.8987106), (2.3713497, 48.8986488)]"
25475795,,"[(2.3810525, 48.8989625), (2.3810565, 48.8989015), (2.3810594, 48.8988424)]"
25477499,Rue Maryse Hilsz,"[(2.4121988, 48.8536609), (2.4122034, 48.8536457), (2.4122209, 48.8535918), (2.4123587, 48.8534112), (2.4124029, 48.8533648), (2.4124465, 48.8532475), (2.4124587, 48.8531995), (2.4124864, 48.8531374), (2.4124845, 48.8531171), (2.4125162, 48.8530131), (2.4125625, 48.8529391), (2.4128221, 48.8520237), (2.4127625, 48.8511554), (2.4127534, 48.8510236), (2.4127732, 48.8508628), (2.4129425, 48.8500227)]"
25485929,Rue de Rivoli,"[(2.3338823, 48.8631744), (2.3337726, 48.8632106)]"
25485930,Cours la Reine,"[(2.3197974, 48.8641193), (2.3195106, 48.8642014), (2.3186104, 48.8644974)]"
25897088,Rue de Provence,"[(2.3380375, 48.8741541), (2.3380259, 48.8741544), (2.3376834, 48.8741618), (2.3376206, 48.8741656)]"
26384918,Avenue Edison,"[(2.3607131, 48.829288), (2.3607037, 48.8293025), (2.3606837, 48.8293132), (2.3605988, 48.8293222), (2.3605772, 48.8293328), (2.3600249, 48.8296245)]"
26934251,Allée Davia,"[(2.2699888, 48.858341), (2.2699786, 48.8583376), (2.268689, 48.8578736), (2.2667674, 48.8571689), (2.2667127, 48.8571491), (2.2666235, 48.8571146), (2.2665964, 48.8571098), (2.2665596, 48.8571069), (2.2664998, 48.8571021), (2.2663506, 48.857086), (2.2662822, 48.8570829), (2.2662222, 48.8570816), (2.2661193, 48.8570869), (2.2659382, 48.8571111), (2.2658484, 48.8571319), (2.2657954, 48.8571442), (2.264923, 48.8573884), (2.2649131, 48.8573959)]"
26934300,Allée Jean Sablon,"[(2.2663846, 48.8569033), (2.2666222, 48.8569562), (2.2667924, 48.8570082), (2.2668216, 48.8570167), (2.2671459, 48.8571327), (2.2671624, 48.8571334), (2.2672256, 48.8571224), (2.2672492, 48.8571252), (2.2676909, 48.8572823), (2.2677789, 48.8573136), (2.2696701, 48.8580052), (2.2701086, 48.8581678), (2.2702531, 48.8582223), (2.2703829, 48.8582659)]"
27068127,Chaussée de la Muette,"[(2.2703829, 48.8582659), (2.2704388, 48.8582773), (2.2718824, 48.8582101), (2.2721313, 48.8581982), (2.2721586, 48.8582027), (2.2722008, 48.8582211), (2.2722058, 48.8582782)]"
27559654,Pont Charles de Gaulle,"[(2.3701442, 48.843204), (2.3682828, 48.8422025), (2.3682822, 48.8422022), (2.3680591, 48.8420822), (2.3679283, 48.8420277)]"
27773625,Pont au Change,"[(2.3465055, 48.8562653), (2.3465152, 48.8562811), (2.3470412, 48.8571291), (2.3470488, 48.8571394)]"
29402353,Rue Édouard Lartet,"[(2.4140293, 48.8398424), (2.4139055, 48.8398546), (2.4138281, 48.839862), (2.4137685, 48.8398661), (2.4137379, 48.8398513), (2.4131409, 48.8399221)]"
29878907,,"[(2.4427415, 48.8230193), (2.4427012, 48.8229859), (2.4426574, 48.8229563), (2.4426204, 48.822931), (2.4425087, 48.8228847), (2.4424092, 48.8228687), (2.4422824, 48.8228793), (2.4421809, 48.8229166), (2.4421191, 48.8229537), (2.4420635, 48.8230003)]"
30168410,Boulevard Macdonald,"[(2.3935851, 48.8959806), (2.3934661, 48.8961183), (2.3932395, 48.8963401), (2.3930954, 48.8964667), (2.3928943, 48.8966089), (2.3926058, 48.8967589), (2.3925483, 48.8967864), (2.3924978, 48.8968081), (2.3924258, 48.8968319), (2.3923202, 48.896868), (2.3921945, 48.8969045), (2.39203, 48.8969521), (2.3916899, 48.8970579), (2.3914524, 48.8971181), (2.390916, 48.8972194), (2.3906068, 48.8972646), (2.390294, 48.8972927), (2.3897039, 48.8973283), (2.3893873, 48.897345), (2.389057, 48.8973524)]"
30168415,Boulevard Macdonald,"[(2.3940316, 48.8952721), (2.3940049, 48.8953206), (2.3939879, 48.8953536), (2.3939705, 48.8954154), (2.393787, 48.895717), (2.3935851, 48.8959806)]"
30173241,Pont Morland,"[(2.3658771, 48.8473046), (2.3661734, 48.8470794), (2.3662992, 48.8469823)]"
30276120,Boulevard de la Guyane,"[(2.4111649, 48.8343374), (2.4111644, 48.8343431), (2.4111766, 48.8343562), (2.4114069, 48.8344427), (2.4115078, 48.8344966), (2.4116237, 48.8345762), (2.4116758, 48.8346113), (2.411806, 48.8346998), (2.4119201, 48.8347982), (2.4120653, 48.8349467), (2.4121832, 48.8350993), (2.4122888, 48.8352762), (2.412646, 48.83623), (2.4128016, 48.8366459), (2.4130123, 48.8372167), (2.4132384, 48.8378176), (2.4133355, 48.8381428), (2.4133805, 48.8382832), (2.4137631, 48.8395967), (2.4138017, 48.8397282), (2.4138048, 48.8397841), (2.4138281, 48.839862)]"
31750641,Avenue Daumesnil,"[(2.3756503, 48.8470703), (2.3765595, 48.8466244), (2.3765835, 48.8466124)]"
31830831,Quai de la Rapée,"[(2.3706531, 48.8436887), (2.3706694, 48.8436559), (2.370655, 48.8435874), (2.3706673, 48.8435761), (2.3706865, 48.8435593)]"
31831464,Place Valhubert,"[(2.3646717, 48.844471), (2.3646186, 48.8445436), (2.3646019, 48.8445541), (2.3645312, 48.8445806), (2.3643885, 48.8446775), (2.3643014, 48.8447774)]"
34678826,Quai des Célestins,"[(2.3605396, 48.8524377), (2.3606408, 48.8524142), (2.3606702, 48.8524063), (2.3606978, 48.8523971), (2.3607332, 48.8523826), (2.3607578, 48.8523694), (2.3610933, 48.8521644), (2.3614317, 48.8519554), (2.3620364, 48.8515788), (2.3623362, 48.8513913)]"
34678894,Quai de Bercy,"[(2.3871881, 48.8290826), (2.3872124, 48.8290505), (2.3872946, 48.8289815), (2.3873587, 48.8289139), (2.3875301, 48.8286769), (2.3876857, 48.828528), (2.387792, 48.8284412), (2.3880759, 48.8281858), (2.3883161, 48.8280412), (2.3884833, 48.8279523), (2.3887773, 48.8277413), (2.3902698, 48.8265991), (2.3909449, 48.8260801)]"
34679516,Quai de la Rapée,"[(2.3662992, 48.8469823), (2.3663268, 48.8469604), (2.3666862, 48.8466893), (2.3667539, 48.846634), (2.3667972, 48.8466011)]"
35095631,Boulevard de Bercy,"[(2.3789998, 48.8404205), (2.3789582, 48.8403559), (2.3789078, 48.8403274), (2.3764228, 48.838974), (2.3763808, 48.8389513), (2.3764004, 48.838906)]"
35095633,Pont de Bercy,"[(2.3757901, 48.838554), (2.3756536, 48.838486), (2.3756477, 48.8384832), (2.3739866, 48.8375706)]"
35099632,Rue Villiot,"[(2.3740405, 48.8409634), (2.3742944, 48.8410853)]"
35801920,Coulée Verte René-Dumont,"[(2.408816, 48.8405883), (2.4079378, 48.8405728), (2.4076071, 48.8405709), (2.407535, 48.8405794), (2.4074013, 48.8406043), (2.4061305, 48.8407126), (2.4049886, 48.8408077), (2.4049776, 48.8408026), (2.4049663, 48.8407681)]"
35801921,La Coulée Verte René-Dumont,"[(2.4098241, 48.8405951), (2.408816, 48.8405883)]"
35802062,Coulée Verte René-Dumont,"[(2.3927761, 48.8409435), (2.3928933, 48.84095), (2.3936433, 48.8409917)]"
35802063,Coulée Verte René-Dumont,"[(2.3936433, 48.8409917), (2.3936472, 48.840992), (2.3939473, 48.8410117), (2.3953364, 48.841103)]"
35802065,Coulée Verte René-Dumont,"[(2.3953364, 48.841103), (2.3986722, 48.8410807)]"
35802066,Coulée Verte René-Dumont,"[(2.3986722, 48.8410807), (2.3990254, 48.8410741), (2.3993787, 48.8410614)]"
35802068,Coulée Verte René-Dumont,"[(2.4004878, 48.8410162), (2.4010899, 48.8409861)]"
35980862,Place Félix Éboué,"[(2.394969, 48.839411), (2.3952282, 48.8394291), (2.3953049, 48.8394121), (2.3957198, 48.8393205)]"
35981390,Place Félix Éboué,"[(2.3949524, 48.8398203), (2.3949451, 48.8398048), (2.3949341, 48.8397812), (2.3949274, 48.839767), (2.3949049, 48.8397274)]"
35981392,Place Félix Éboué,"[(2.3962437, 48.8392074), (2.3962645, 48.8392446)]"
35981394,Place Félix Éboué,"[(2.395124, 48.8399928), (2.395077, 48.8399711), (2.3950529, 48.8399596), (2.3950368, 48.8399512), (2.3950254, 48.8399428), (2.395012, 48.8399309), (2.3950012, 48.8399172), (2.3949657, 48.8398493)]"
36887564,Anneau de Longchamp,"[(2.2368662, 48.8519249), (2.2368216, 48.8517765), (2.2367763, 48.8516839), (2.2367236, 48.8516212), (2.236655, 48.8515723), (2.236589, 48.8515328), (2.2363339, 48.8514443), (2.2361981, 48.8513972)]"
36889671,Avenue de l'Hippodrome,"[(2.2382654, 48.8621464), (2.2384121, 48.8620659)]"
36890708,Route des Moulins,"[(2.2334397, 48.8638836), (2.2334288, 48.8639237)]"
36902446,Avenue de Fontenay,"[(2.4613026, 48.8401616), (2.4611637, 48.8399503), (2.4609523, 48.8397008), (2.460712, 48.839455), (2.460357, 48.8391562), (2.4602791, 48.8391403)]"
36922578,Place d'Italie,"[(2.3571175, 48.8311534), (2.3570954, 48.8311833), (2.3570526, 48.8312412), (2.3569795, 48.8313406)]"
36922586,Place d'Italie,"[(2.3547664, 48.8310299), (2.3547471, 48.8310394), (2.354713, 48.8310272), (2.3545794, 48.8309845), (2.3545303, 48.8309826)]"
36942056,Avenue de l'Hippodrome,"[(2.2559533, 48.8582429), (2.2565459, 48.8583188), (2.2567444, 48.8583449), (2.2567841, 48.8583501), (2.2570447, 48.8583782), (2.2573997, 48.858408), (2.2575744, 48.8584192), (2.2577417, 48.8584217), (2.2579375, 48.8584177), (2.2581212, 48.8583878), (2.258284, 48.8583621), (2.2584461, 48.858347), (2.258588, 48.8583371), (2.2587238, 48.8583383), (2.2587761, 48.8583387)]"
37029059,Place de la Bataille de Stalingrad,"[(2.3704282, 48.8827539), (2.3704654, 48.8827648), (2.3704822, 48.8827781)]"
37030122,Quai de la Seine,"[(2.3788931, 48.8887899), (2.37881, 48.888752), (2.3785028, 48.8886008), (2.3780359, 48.8883601), (2.3773675, 48.8880247), (2.3772673, 48.8879745), (2.3771508, 48.8879168), (2.376845, 48.8877652), (2.3764441, 48.8875665), (2.3760379, 48.8873661), (2.3755823, 48.8871414), (2.3755362, 48.8871186), (2.3753655, 48.8870357), (2.3752852, 48.8869967), (2.3750648, 48.8868885), (2.374928, 48.8868213), (2.3746579, 48.8866872), (2.3745827, 48.8866499), (2.3744313, 48.8865747), (2.3744221, 48.8865701), (2.3738539, 48.8862876), (2.3732505, 48.8859859)]"
37030123,Place de la Bataille de Stalingrad,"[(2.3691523, 48.8841009), (2.3691528, 48.8840153), (2.3694417, 48.8837674), (2.369787, 48.8837616), (2.3700525, 48.8835511), (2.3700176, 48.8832739), (2.3701346, 48.8831185), (2.3702723, 48.8830411)]"
37074489,,"[(2.3757901, 48.838554), (2.3757753, 48.8385024)]"
37074490,Quai de Bercy,"[(2.3813792, 48.8340098), (2.3819555, 48.833571), (2.3820627, 48.8334894), (2.3821591, 48.833409), (2.3821838, 48.8333885), (2.382558, 48.8330768), (2.3827056, 48.8329609), (2.3829736, 48.8327481), (2.3835339, 48.8322993), (2.3838035, 48.832084), (2.3840585, 48.8318852), (2.3857694, 48.8305359), (2.3858204, 48.8304957), (2.3858841, 48.8304454), (2.386139, 48.8302421), (2.386202, 48.8301925), (2.3863421, 48.8300821)]"
37095741,Boulevard Richard-Lenoir,"[(2.3704398, 48.8555446), (2.3707867, 48.8563091), (2.3708603, 48.8564753)]"
37095864,Boulevard Jules Ferry,"[(2.3671144, 48.8685799), (2.3672109, 48.8685879)]"
37145386,Boulevard de Clichy,"[(2.3327805, 48.883659), (2.3328262, 48.8836458), (2.33284, 48.8836435), (2.3328914, 48.883635), (2.3329103, 48.8836319), (2.3340163, 48.8833046), (2.3348302, 48.8830637), (2.3349017, 48.8830425), (2.3368855, 48.8824464), (2.3369224, 48.8824353)]"
37189043,Rue de Tanger,"[(2.3713185, 48.8892514), (2.371153, 48.8891532), (2.3707507, 48.8885027), (2.3707636, 48.8884729), (2.370625, 48.8882452), (2.3705133, 48.8880649), (2.3703259, 48.8877632), (2.3702882, 48.8877022), (2.3701323, 48.8874363), (2.3693612, 48.8867257), (2.3693193, 48.8866819), (2.3692898, 48.8866725), (2.369251, 48.8866315)]"
37189604,Place de l'Île de la Réunion,"[(2.3982914, 48.8478909), (2.3983224, 48.8478877), (2.3984328, 48.8478767), (2.398906, 48.8478269), (2.3989642, 48.8478208), (2.3989766, 48.8478195), (2.399021, 48.8478149)]"
37189638,Place des Antilles,"[(2.3990139, 48.8483713), (2.3989811, 48.8483745), (2.398704, 48.848401), (2.3984338, 48.8484269), (2.398381, 48.8484334)]"
37190351,Place du Moulin de Javel,"[(2.2712243, 48.8402545), (2.2713071, 48.840199), (2.2715052, 48.8401491), (2.271748, 48.840076), (2.2717935, 48.8400266), (2.2718731, 48.839985)]"
37192015,Cours de Vincennes,"[(2.410696, 48.8467714), (2.4107023, 48.846808), (2.4107117, 48.846852), (2.4107151, 48.846868), (2.410725, 48.8469155), (2.4107326, 48.8469516)]"
37192030,Cours de Vincennes,"[(2.4111905, 48.8472744), (2.4111345, 48.8472749), (2.4110781, 48.8472419), (2.4110543, 48.8472296), (2.4110046, 48.8472039), (2.4109352, 48.8471863), (2.4107862, 48.8471963)]"
37192057,Boulevard Davout,"[(2.4114787, 48.8479453), (2.4115867, 48.848698), (2.4116107, 48.8489379), (2.4116094, 48.8490184)]"
37214873,Avenue Jean Jaurès,"[(2.3768499, 48.8845878), (2.3768297, 48.8845822), (2.3760585, 48.8843794), (2.3756708, 48.8842838), (2.3754374, 48.8842211), (2.3753938, 48.8841858), (2.3752042, 48.8841338), (2.374284, 48.8838935), (2.3735279, 48.8836937), (2.3733346, 48.8836455), (2.3732622, 48.8836379), (2.3732026, 48.8836317), (2.3731435, 48.8836168), (2.3716172, 48.8832194), (2.371593, 48.8831874), (2.3713215, 48.8831159), (2.3712467, 48.8831214), (2.370957, 48.8830441), (2.370938, 48.8830389), (2.3708519, 48.883054)]"
37533352,Boulevard Marguerite de Rochechouart,"[(2.3418198, 48.8823648), (2.3419476, 48.8823898), (2.342097, 48.8824183), (2.343651, 48.8827228), (2.3437117, 48.8827128), (2.3438512, 48.8827409), (2.3440127, 48.8827732), (2.3443913, 48.8828485), (2.344455, 48.8828612)]"
37533590,Boulevard de Rochechouart,"[(2.3400382, 48.8821127), (2.3399682, 48.8821227), (2.3398752, 48.8821051), (2.3398193, 48.8820945), (2.3397784, 48.8820868), (2.3397332, 48.8820983)]"
37533591,Boulevard Marguerite de Rochechouart,"[(2.3466423, 48.8835003), (2.3465651, 48.8834147), (2.3465569, 48.8834056), (2.346529, 48.8833746), (2.3445423, 48.8829999), (2.3445015, 48.8830094), (2.3444305, 48.8829959), (2.3443932, 48.8829885), (2.3443316, 48.8829762), (2.3439525, 48.882901), (2.3438802, 48.8828867), (2.3437998, 48.8828735), (2.3435873, 48.8828292), (2.3435464, 48.8828011), (2.3420534, 48.8825062)]"
39214807,Rue Le Vau,"[(2.410781, 48.871037), (2.4107969, 48.8708663), (2.4108277, 48.870598), (2.4108378, 48.8704563), (2.4108618, 48.8701168), (2.4108792, 48.8699723), (2.4108907, 48.8698779), (2.4109041, 48.8697379), (2.4109485, 48.8692793), (2.4109561, 48.8691988), (2.4109595, 48.8691578), (2.4109677, 48.8690751), (2.4110853, 48.8678957), (2.4110936, 48.8678015), (2.4111075, 48.8676207), (2.4111402, 48.8672326), (2.4111426, 48.8671896), (2.411199, 48.8666182), (2.41122, 48.8665658), (2.4112434, 48.8665056), (2.41126, 48.8664583), (2.411301, 48.8663618), (2.411522, 48.8657969), (2.4115348, 48.8657641)]"
39230820,Rue Claude Decaen,"[(2.3967288, 48.8382218), (2.3967041, 48.8381736), (2.3970825, 48.8377356), (2.3971303, 48.8376814), (2.3971968, 48.8376079), (2.3976405, 48.8372736), (2.3976983, 48.8372481), (2.3977926, 48.8372519)]"
39481288,Rue des Docteurs Déjérine,"[(2.4115433, 48.8572568), (2.4115321, 48.8570832), (2.4115273, 48.8570178), (2.4115373, 48.8569961), (2.4115616, 48.8569417), (2.411617, 48.8568845), (2.41195, 48.8562577), (2.4121512, 48.8556267), (2.4122101, 48.855419), (2.4121598, 48.8549332), (2.4121491, 48.8548304), (2.4121487, 48.8547877)]"
39481363,Rue Louis Lumière,"[(2.4112817, 48.8607363), (2.4113006, 48.8606317), (2.4113032, 48.8606106), (2.4115906, 48.8589894), (2.4116147, 48.8588581), (2.4116396, 48.8587148), (2.4116535, 48.8586445), (2.411618, 48.8580925), (2.411577, 48.8573774), (2.4115725, 48.8573298), (2.4115495, 48.8572958), (2.4115433, 48.8572568)]"
39481517,Avenue Ibsen,"[(2.4125927, 48.8666512), (2.4125779, 48.8666428), (2.4125578, 48.8666186), (2.412535, 48.8665846), (2.4125044, 48.8665405), (2.4121593, 48.866181), (2.4119443, 48.8659499), (2.4117797, 48.8657864), (2.4117446, 48.8657495), (2.4117073, 48.8657335), (2.411673, 48.8657282), (2.4116362, 48.865734), (2.4115658, 48.8657525), (2.4115348, 48.8657641)]"
39749057,Avenue de la Porte du Pré Saint-Gervais,"[(2.4024945, 48.8820103), (2.4023202, 48.8819192), (2.4019843, 48.8815524), (2.4017933, 48.8813398), (2.4017116, 48.8812279), (2.4016709, 48.881168)]"
40037023,Rue de Rivoli,"[(2.3512761, 48.8575375), (2.3509469, 48.8576403), (2.3509017, 48.8576538), (2.3506702, 48.8577258)]"
40120453,Quai Panhard et Levassor,"[(2.3838861, 48.8288234), (2.383898, 48.8288134), (2.3839238, 48.8287885), (2.3839563, 48.8287571), (2.3840006, 48.8287156), (2.3842425, 48.828489), (2.3846807, 48.828076), (2.3847002, 48.8280577)]"
40120624,Avenue de la Porte de Vitry,"[(2.3791335, 48.8211634), (2.3791694, 48.8212264), (2.3791687, 48.8212384), (2.3780851, 48.8227434), (2.378041, 48.8228059), (2.3778496, 48.8230771), (2.3774692, 48.823606), (2.377284, 48.8238586), (2.3772429, 48.8238691), (2.3771945, 48.8239411), (2.3771697, 48.8239747), (2.3771457, 48.8240118), (2.3770893, 48.8240304), (2.3770284, 48.8240505)]"
40120632,Avenue de la Porte de Vitry,"[(2.3770284, 48.8240505), (2.3770334, 48.8240185), (2.3770425, 48.8239369), (2.3770457, 48.8238864), (2.3773775, 48.8234234), (2.377667, 48.8230194), (2.3777366, 48.8229222), (2.37776, 48.8228902), (2.3777893, 48.8228478), (2.3778113, 48.8228237), (2.3779054, 48.8226921), (2.3784951, 48.8218664), (2.3785756, 48.8217537), (2.3786172, 48.8217215), (2.3786483, 48.8216981), (2.3786678, 48.8216729), (2.378932, 48.8213036), (2.3790281, 48.8212544)]"
40295309,Boulevard de Picpus,"[(2.4019896, 48.8437789), (2.4019405, 48.8437623), (2.4019148, 48.8437674), (2.4017492, 48.8437987), (2.4017371, 48.8438015), (2.4016888, 48.8438211), (2.401637, 48.8438435)]"
40897651,Avenue Cartellier,"[(2.4120326, 48.8646703), (2.4122855, 48.8645237), (2.4125666, 48.8643592), (2.4126758, 48.8642709), (2.4127421, 48.8642084), (2.4127605, 48.8641968), (2.4127915, 48.8641834)]"
41404008,Avenue Edison,"[(2.3593093, 48.8298165), (2.3592824, 48.8298265), (2.3592685, 48.8298317), (2.3591638, 48.8298715), (2.3584145, 48.8301562), (2.3583717, 48.8301715), (2.358324, 48.8301848), (2.3582549, 48.8301917), (2.3581793, 48.8301939), (2.3581433, 48.8301871), (2.3581127, 48.8301797), (2.3579141, 48.8301126), (2.3578734, 48.8300992), (2.3577697, 48.8300651)]"
41406018,Place Nationale,"[(2.3654835, 48.8289941), (2.3655174, 48.8290375), (2.3653948, 48.8292326), (2.3653483, 48.8292425)]"
